,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,11,12,genres_together,artist_id,artist_followers,artist_popularity
504,Jazz Vol.1,Seb Wildblood,Jazz Vol. 1 EP,2016-05-27,0.4692806604605116,0.44,0.387,0.8,0.561,0.888,0.106,0.7367997208278528,0.07446351931330472,0.463,0.5653306274310841,4,2iI5yTu2IYavykXX08aJHZ,2016,deep house,electronica,float house,indie soul,,,,,,,,,,"deep house,electronica,float house,indie soul",51Rlwvwkj8L3zakIRr6dUV,18092,48
505,Breakfast in America,48th St. Collective,Vintage Approach,2014-04-19,0.18102445277760934,0.33,0.76,0.534,0.406,0.00156,0.106,0.7962043325369769,0.0305793991416309,0.23,0.7092073156000096,3,3aWa3FNBtXb1XnXb2X2PeJ,2014,coverchill,,,,,,,,,,,,,coverchill,1mbrPxCCWDAO0UJ0p2gaHn,5568,48
506,Prickly Pear,Portico Quartet,Knee-Deep in the North Sea,2010,0.3908735391302263,0.61,0.965,0.4,0.245,0.944,0.158,0.6590610152202507,0.03626609442060085,0.268,0.7932400763450991,4,6e65fH1wClamA2QPI5HUi3,2010,british jazz,compositional ambient,contemporary jazz,electronica,indie jazz,jazz quartet,new tribe,nu jazz,,,,,,"british jazz,compositional ambient,contemporary jazz,electronica,indie jazz,jazz quartet,new tribe,nu jazz",7sYipTRgDXS2JVOPEhRutx,114993,55
507,Mystery,Jesse Jo Stark,Mystery,2018-11-02,0.34501135977413017,0.41,0.591,0.443,0.428,0.0,0.111,0.8918744799076584,0.029399141630901286,0.16,0.621178517068928,3,7M3txFiUnjpSbSc0axEUyW,2018,la indie,,,,,,,,,,,,,la indie,1VmIiQ7VHrqHg90igSWrB0,21611,41
508,Fire of Love,Jesse Jo Stark,Fire of Love,2018-04-06,0.30430656018141794,0.38,0.00719,0.356,0.816,0.00103,0.757,0.9511448742383164,0.04184549356223176,0.527,0.8413954724457007,4,4lnAR9AH0WZoRUNsOgwHXd,2018,la indie,,,,,,,,,,,,,la indie,1VmIiQ7VHrqHg90igSWrB0,21611,41
509,Breakfast With Lou,Jesse Jo Stark,Dandelion,2018-06-22,0.1537017632682303,0.38,0.626,0.626,0.671,0.0,0.106,0.9085174348374627,0.04881974248927038,0.636,0.5797153970669952,4,2OUbMotzG9kYxHysXIC6w1,2018,la indie,,,,,,,,,,,,,la indie,1VmIiQ7VHrqHg90igSWrB0,21611,41
510,Hey Now (When I Give You All My Lovin'),Romare,"Love Songs, Pt. 1",2013-03-25,0.11581610563532234,0.4,0.786,0.866,0.342,0.231,0.178,0.8181086087026548,0.0565450643776824,0.115,0.6060544562827668,4,6EiOaXSkNJGmEDwDilslHH,2013,deep house,electronica,indie jazz,indie soul,ninja,nu jazz,soul,south african alternative,,,,,,"deep house,electronica,indie jazz,indie soul,ninja,nu jazz,soul,south african alternative",6d1HqiWNEKV9zFqQM9WeYo,104175,58
511,Love to Love You Baby - Tom Novy & Pufo Remix,Tom Tom Club,Love to Love You Baby,2000-06-01,0.2473074303217827,0.39,0.0962,0.61,0.448,0.102,0.0746,0.7274045043352213,0.08208154506437768,0.123,0.9470512913435288,4,54ooygs1H5FVbKRjSeda7c,2000,dance rock,new romantic,new wave,no wave,post-punk,synthpop,,,,,,,,"dance rock,new romantic,new wave,no wave,post-punk,synthpop",1m24736Bdew1oQVxTePOCo,83904,51
512,The End of the World,Skeeter Davis,The Essential Skeeter Davis,1994-05-23,0.13094977865716328,0.61,0.936,0.232,0.216,4.93e-06,0.246,0.7576034144901082,0.033690987124463515,0.432,0.45549998792007923,3,5DTOOkooKFUvWj1XQTFa09,1994,brill building pop,nashville sound,,,,,,,,,,,,"brill building pop,nashville sound",5b2OzvLaL6nyxw5pbVbSdy,31865,51
513,Daydream in Blue - BBC Radio 2 Session,I Monster,Dear John EP,2009-11-02,0.2454134294953609,0.52,0.236,0.849,0.178,0.459,0.0756,0.6458003382277937,0.06641630901287553,0.317,0.653934430190138,4,159xHPF9XxKuMWEsB9Pg5W,2009,downtempo,electronica,trip hop,,,,,,,,,,,"downtempo,electronica,trip hop",1CcPlAmcnJjC4FnaPVzv2v,60855,50
514,Daydream In Blue,I Monster,Neveroddoreven,2005-01-27,0.2241591581215686,0.57,0.0151,0.546,0.508,0.00109,0.116,0.8749899336966149,0.028540772532188837,0.385,0.7427749993960039,4,118kolZnbJBQvbOl0D4C71,2005,downtempo,electronica,trip hop,,,,,,,,,,,"downtempo,electronica,trip hop",1CcPlAmcnJjC4FnaPVzv2v,60855,50
515,Baby Blue,Martina Topley-Bird,Some Place Simple,2010-07-09,0.14461958506856057,0.35,0.825,0.557,0.241,0.0,0.195,0.673395431240437,0.13090128755364805,0.704,0.6383706602884685,4,4vabAtcyQUlPRTFznkbaJN,2010,electronica,trip hop,,,,,,,,,,,,"electronica,trip hop",6sKLLGj7SqbP2qDBdEOoZ6,46617,39
516,Stroker Ace,Nathaniel Merriweather,Nathaniel Merriweather Presents...Lovage: Music to Make Love to Your Old Lady By,2001-11-06,0.2888499339285639,0.39,0.0969,0.844,0.568,0.604,0.109,0.7801519340724237,0.1427038626609442,0.378,0.386591287961151,4,7n6GXJgNItuIhXNF4BBYU1,2001,,,,,,,,,,,,,,,75Hc85c2sVptUPHFykMVTY,15565,47
517,Baby I'm A Fool,Melody Gardot,My One And Only Thrill,2009-01-01,0.2058636460432588,0.53,0.933,0.516,0.24,0.0228,0.17,0.6916489947118353,0.04334763948497854,0.277,0.5459206107607933,4,3XZN4wXwG2o0OadHWExzPr,2009,adult standards,contemporary vocal jazz,lounge,soul,vocal jazz,,,,,,,,,"adult standards,contemporary vocal jazz,lounge,soul,vocal jazz",2P1puQXmG48EVLBrHbum1J,434857,63
518,Special Affair,The Internet,Ego Death,2015-06-26,0.1571992480407739,0.64,0.183,0.795,0.409,0.00108,0.112,0.7720988913644539,0.09216738197424892,0.518,0.5802952332632697,4,3NWTRZ0A8xKlBP1qgNftql,2015,alternative r&b,escape room,indie soul,lgbtq+ hip hop,,,,,,,,,,"alternative r&b,escape room,indie soul,lgbtq+ hip hop",7GN9PivdemQRKjDt4z5Zv8,844600,66
519,Love and Death,Ebo Taylor,Love & Death,2010-10-25,0.494119853726161,0.55,0.135,0.742,0.896,0.461,0.12,0.8506429012428529,0.05375536480686695,0.871,0.49503998453770137,4,2qgudkFpaRq2YcJDWhKW44,2010,afro-funk,afrobeat,afropop,funk,highlife,indie jazz,soul,world,,,,,,"afro-funk,afrobeat,afropop,funk,highlife,indie jazz,soul,world",2gR0iQTVBPHDKiNn1Kq8HI,51784,52
520,Alberto Balsalm,Aphex Twin,...I Care Because You Do,1995-04-24,0.3469660024736243,0.58,0.316,0.792,0.599,0.931,0.111,0.6777977612541272,0.15128755364806865,0.57,0.4541760286052523,4,21Phj46KeUHOWyZW9A9b7P,1995,ambient,braindance,electronica,intelligent dance music,uk experimental electronic,,,,,,,,,"ambient,braindance,electronica,intelligent dance music,uk experimental electronic",6kBDZFXuLrZgHnvmPu9NsG,628471,64
521,She's Not There,The Zombies,Begin Here,1965-03-01,0.11363158792860054,0.63,0.579,0.523,0.803,0.0,0.0948,0.9048398786674898,0.048283261802575105,0.898,0.6393467178855307,4,3dzW0SoVNyJTWWJimX8stj,1965,art rock,baroque pop,brill building pop,british invasion,bubblegum pop,classic rock,folk rock,psychedelic rock,rock,,,,,"art rock,baroque pop,brill building pop,british invasion,bubblegum pop,classic rock,folk rock,psychedelic rock,rock",2jgPkn6LuUazBoBk6vvjh5,567806,63
522,Die 4 You,Perfume Genius,No Shape,2017-05-05,0.20848111851819467,0.48,0.828,0.258,0.382,0.00125,0.137,0.7590529621775428,0.03937768240343348,0.263,0.35568601869971733,4,0OjosFJrK4sNoLe9oURL36,2017,art pop,chamber pop,chillwave,electropop,experimental pop,freak folk,indie pop,indie rock,seattle indie,,,,,"art pop,chamber pop,chillwave,electropop,experimental pop,freak folk,indie pop,indie rock,seattle indie",2ueoLVCXQ948OfhVvAy3Nn,269175,61
