,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,release_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genres_together,artist_id,artist_followers,artist_popularity,streamstotal_weights
33753,Cool,Jonas Brothers,36791,2019-04-05,3QmolSZqjjLksTUvZJ6pPS,2019,36791,Cool,2019-04-05,0.23819585659372924,0.07,0.0105,0.6809999999999999,0.603,0.0,0.159,0.8374589625738673,0.032715691951360745,0.643,0.11064935759098296,4,2019-01-01,boy band,dance pop,pop,pop rock,post-teen pop,,,,,,"boy band,dance pop,pop,pop rock,post-teen pop",7gOdHgIoIKoe4i9Tta6qdD,4440391,0.8383838383838383,3.945382222224381e-05
33754,La Plata (feat. Lalo Ebratt),Juanes,101315,2019-03-13,7Eso5mURNFprb5PmhOXDlf,2019,4453364,La Plata,2019-01-11,0.3109529218989201,0.63,0.201,0.762,0.74,0.0,0.275,0.8641497045305319,0.2935726693688477,0.961,0.7044450828817874,4,2019-01-01,colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical,,,,,"colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical",0UWZUmn7sybxMCqrw9tGa7,2922440,0.7878787878787878,0.004775685128073187
33815,Fuego,Juanes,70660,2017-03-13,0mwPE0lPOgnWf2bo14xedJ,2017,3231869,Mis Planes Son Amarte,2017-05-12,0.2390497706227931,0.59,0.0575,0.745,0.66,0.0,0.10800000000000001,0.8398227183191072,0.0935147654892878,0.934,0.21853264827521696,4,2017-01-01,colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical,,,,,"colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical",0UWZUmn7sybxMCqrw9tGa7,2922440,0.7878787878787878,0.0076349452245835754
33865,Hermosa Ingrata,Juanes,26514,2017-03-13,3H0Vda4LvcNlwRQpNd8MHJ,2017,1012213,Mis Planes Son Amarte,2017-05-12,0.2747782516046147,0.52,0.215,0.5710000000000001,0.765,0.0006349999999999999,0.0904,0.8169402495075508,0.039664157498552406,0.965,0.2080696995409932,4,2017-01-01,colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical,,,,,"colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical",0UWZUmn7sybxMCqrw9tGa7,2922440,0.7878787878787878,0.002391245069218899
33913,Angel,Juanes,28112,2017-04-07,3C5LlKXr4HWoiQdKHR3JQP,2017,28112,Mis Planes Son Amarte,2017-05-12,0.40890942613387216,0.0,0.174,0.778,0.68,1.29e-05,0.11900000000000001,0.8161523309258043,0.004777070063694269,0.8320000000000001,0.3045546565466924,4,2017-01-01,colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical,,,,,"colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical",0UWZUmn7sybxMCqrw9tGa7,2922440,0.7878787878787878,6.641159655712947e-05
33914,El Ratico,Juanes,18405,2017-04-21,2HqlnQkOtLFLyQgOVYqWkU,2017,18405,Mis Planes Son Amarte,2017-05-12,0.2355956499106339,0.0,0.109,0.6990000000000001,0.687,0.0,0.127,0.7767892317793829,0.03720324261725536,0.733,0.1766875346593529,4,2017-01-01,colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical,,,,,"colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical",0UWZUmn7sybxMCqrw9tGa7,2922440,0.7878787878787878,4.347984613808936e-05
33915,Fuego,Juanes,30713,2017-05-01,6SdlwHgDMQ0f2UAbG5nM0a,2017,353922,Fuego,2016-10-07,0.23686241726906496,0.0,0.0525,0.779,0.659,0.0,0.128,0.8400196979645438,0.08338158656629995,0.922,0.21752376879956709,4,2016-01-01,colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical,,,,,"colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical",0UWZUmn7sybxMCqrw9tGa7,2922440,0.7878787878787878,0.0008361029125175148
33926,Hermosa Ingrata,Juanes,16303,2017-05-02,72LBN3OP6LmcHosgaQBHP0,2017,144562,Hermosa Ingrata,2017-01-27,0.2759424467073024,0.0,0.212,0.731,0.764,0.0005679999999999999,0.0848,0.8133289560078792,0.03141285466126231,0.96,0.21100279947351194,4,2017-01-01,colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical,,,,,"colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical",0UWZUmn7sybxMCqrw9tGa7,2922440,0.7878787878787878,0.00034151228021811865
33934,El Ratico,Juanes,28891,2017-05-12,0pc964i59EXbSItfDHMneb,2017,28891,Mis Planes Son Amarte,2017-05-12,0.2355956499106339,0.53,0.115,0.6509999999999999,0.672,0.0,0.0867,0.7783978988837821,0.03807180081065432,0.747,0.17705500731604654,4,2017-01-01,colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical,,,,,"colombian pop,latin,latin pop,mexican pop,rock en espanol,tropical",0UWZUmn7sybxMCqrw9tGa7,2922440,0.7878787878787878,6.825190082996684e-05
33935,Controla,Brytiago,77084,2019-03-13,4AKWHLChPxYdXAB2cHmZB7,2019,5774121,Controla,2019-02-15,0.3430247019634894,0.63,0.504,0.758,0.6990000000000001,0.0,0.0922,0.8340774786605385,0.2139548349739433,0.594,0.18418397685590399,4,2019-01-01,latin,reggaeton,reggaeton flow,trap latino,tropical,,,,,,"latin,reggaeton,reggaeton flow,trap latino,tropical",00XhexlJEXQstHimpZN910,2681351,0.8080808080808081,0.006192034558009422
33996,Asesina - Remix,Brytiago,72052,2019-03-13,59PYgzOiOjGDzjDT5N5oOX,2019,2684870,Asesina (Remix),2018-10-31,0.6493721295795307,0.72,0.589,0.825,0.69,0.0,0.413,0.8795141168745897,0.2935726693688477,0.516,0.21211858008565454,4,2018-01-01,latin,reggaeton,reggaeton flow,trap latino,tropical,,,,,,"latin,reggaeton,reggaeton flow,trap latino,tropical",00XhexlJEXQstHimpZN910,2681351,0.8080808080808081,0.0028791928371024364
34057,Aprendi a Amar,Brytiago,37096,2019-03-22,7M8K2ermHPnLJildw6F6EP,2019,869029,Aprendi a Amar,2019-03-22,0.3578797289015281,0.58,0.127,0.746,0.63,0.0,0.141,0.8729152987524623,0.0913433700057904,0.843,0.7456220643945722,4,2019-01-01,latin,reggaeton,reggaeton flow,trap latino,tropical,,,,,,"latin,reggaeton,reggaeton flow,trap latino,tropical",00XhexlJEXQstHimpZN910,2681351,0.8080808080808081,0.0009319267122930695
34085,Bebé - Remix,Brytiago,28992,2017-05-06,2jVJYU4X3aD8hlTco3MlsN,2017,183663,Bebé (Remix),2017-05-05,0.4171485425764612,0.0,0.171,0.615,0.752,0.0,0.474,0.8765594221930402,0.04921829762594095,0.868,0.7319654442076288,4,2017-01-01,latin,reggaeton,reggaeton flow,trap latino,tropical,,,,,,"latin,reggaeton,reggaeton flow,trap latino,tropical",00XhexlJEXQstHimpZN910,2681351,0.8080808080808081,0.0004338842152273787
