,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
69,Soltera - Remix,Lunay,Soltera (Remix),2019-05-10,0.7010461910337273,0.6774193548387096,0.361,0.795,0.783,0.0,0.437,0.8722674908682214,0.025595370576452267,0.799,0.15283435166327228,4,1c0hsvHLELX6y8qymnpLKL,2019
70,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",2020-06-24,0.5552290667371681,0.9032258064516129,0.0631,0.904,0.723,0.0,0.185,0.8187131216633886,0.5081237480525261,0.835,0.6525986271403788,4,2MbdDtCv5LUVjYy9RuGTgC,2020
71,LA CANCIÓN,J Balvin,OASIS,2019-06-28,0.6122408127809041,0.7741935483870968,0.152,0.754,0.646,1.85e-05,0.108,0.7866254565889296,0.6349877587358113,0.429,0.9456136380779965,4,0fea68AdmYNygeTGI4RC18,2019
72,Underwater,KÖWE,Underwater,2020-05-29,0.12544472561090758,0.0967741935483871,0.862,0.586,0.274,0.398,0.105,0.44551840404608034,0.0008902737591809428,0.119,0.1811778682959946,4,3JeLRXZaxfF5HAR9DRarN6,2020
73,Harder To Breathe,Maroon 5,Songs About Jane: 10th Anniversary Edition,2002,0.35209049363598593,0.4838709677419355,0.0506,0.662,0.908,0.0,0.0508,0.8445630795167183,0.0293790340529713,0.967,0.6990646450931584,4,4V9JDRqKjN8F2HWdlEDxvI,2002
74,ily (i love you baby) (feat. Emilee),Surf Mesa,ily (i love you baby) (feat. Emilee),2019-11-26,0.36286588359708427,0.9032258064516129,0.0686,0.674,0.774,0.00188,0.393,0.6870469232930598,0.1279768528822613,0.33,0.3417911292147544,4,62aP9fBQKYKxi7PDXwcUAS,2019
75,Robbery,Juice WRLD,Death Race For Love,2019-03-08,0.6027117875892284,0.8548387096774194,0.328,0.685,0.692,0.0,0.153,0.8244450688395617,0.031159581571333184,0.578,0.7935901787734783,5,6Hj9jySrnFppAI0sEMCZpJ,2019
76,THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,0.3229482192091249,0.8387096774193549,0.233,0.716,0.537,0.0,0.157,0.6824950828884518,0.043845982639661704,0.28,0.5108433280531042,4,39Yp9wwQiSRIDOvrVg7mbk,2020
77,Rebota,Guaynaa,Rebota,2018-12-14,0.46893530233787817,0.5806451612903226,0.188,0.796,0.911,0.0,0.499,1.0,0.5637658580013354,0.918,0.9836972919966809,4,2YRvdf9cdS88y1wB1WhKoE,2018
78,Rainy Days,Midnight Steak,Rainy Days,2020-06-16,0.12263851644823809,0.0,0.89,0.642,0.222,0.832,0.102,0.5590334363585276,0.02470509681727131,0.0498,0.08674662442483219,4,0RxEfTamMWY6jNg9XfH9dC,2020
79,Everything,KÖWE,Everything,2020-06-12,0.20595233598972693,0.11290322580645161,0.837,0.789,0.224,0.422,0.116,0.3949423995504355,0.0462942354774093,0.137,0.039705438636192185,4,4t5SJ59t0wMZkp7QtkLwkX,2020
80,Con Calma,Daddy Yankee,Con Calma,2019-01-24,0.42586395739698607,0.7419354838709677,0.11,0.737,0.86,1.94e-06,0.0574,0.9632481033998315,0.061428889383485424,0.656,0.17149430489552692,4,5w9c2J52mkdntKOmRLeM2m,2019
81,Djadja (feat. Maluma) - Remix,Aya Nakamura,Djadja (feat. Maluma) [Remix],2020-06-12,0.3262454205536881,0.8870967741935484,0.175,0.791,0.682,0.0,0.0926,0.7004776622646811,0.2811039394613844,0.672,0.20960624575695863,4,6AzKhCHOms83jvNVLsz0Bt,2020
