,Position,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,artist_id,artist_followers,artist_popularity
36,27,Ignorantes,Bad Bunny,123720,2020-04-19,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
37,27,Ignorantes,Bad Bunny,133179,2020-04-20,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
38,31,Ignorantes,Bad Bunny,124219,2020-04-21,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
39,30,Ignorantes,Bad Bunny,129732,2020-04-22,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
40,30,Ignorantes,Bad Bunny,130837,2020-04-23,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
41,31,Ignorantes,Bad Bunny,134319,2020-04-24,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
42,33,Ignorantes,Bad Bunny,131239,2020-04-25,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
43,32,Ignorantes,Bad Bunny,121188,2020-04-26,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
44,35,Ignorantes,Bad Bunny,119770,2020-04-27,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
45,34,Ignorantes,Bad Bunny,122454,2020-04-28,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
