,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,release_date_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genres_together,artist_id,artist_followers,artist_popularity,Period,streamstotal_weights
1615,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,61508,2017-01-08,2SSYqDX8KTgy01NlqtUo0F,2017,1687168,Des/Amor,2016-06-17,0.414069563303946,0.6842105263157895,0.23399999999999999,0.768,0.742,0.0,0.14,0.8111369822582232,0.03997726411519515,0.797,0.3808349748999174,5,2016-01-01,latin,latin arena pop,latin pop,mexican pop,,,,,,,"latin,latin arena pop,latin pop,mexican pop",0vR2qb8m9WHeZ5ByCbimq2,4557323,0.8585858585858586,NormalPeriod,0.004336839321780112
1676,Qué Gano Olvidándote (feat. Zion & Lennox) - Versión Urbana,Reik,22666,2017-01-08,3H179O48ynsu9q8LOnFQZY,2017,2476261,Qué Gano Olvidándote (feat. Zion & Lennox) [Versión Urbana],2016-11-11,0.4801480049940922,0.010526315789473684,0.0869,0.49,0.894,0.0,0.10300000000000001,0.9619912766864528,0.1354679802955665,0.653,0.9102243121306476,4,2016-01-01,latin,latin arena pop,latin pop,mexican pop,,,,,,,"latin,latin arena pop,latin pop,mexican pop",0vR2qb8m9WHeZ5ByCbimq2,4557323,0.8585858585858586,NormalPeriod,0.006365190707618058
1737,Vete,Bad Bunny,225307,2020-01-08,5DxXgozhkPLgrbKFY91w0c,2020,10200565,Vete,2019-11-21,0.3490076394303673,0.8526315789473684,0.0363,0.8859999999999999,0.672,8.78e-06,0.10099999999999999,0.8739054865050996,0.3122394846532777,0.526,0.236569867191968,4,2019-01-01,latin,reggaeton,trap latino,,,,,,,,"latin,reggaeton,trap latino",4q3ewBCX7sLwd24euuV69X,24278509,0.9797979797979798,NormalPeriod,0.008864936920455237
1789,Callaita,Bad Bunny,91217,2020-01-08,2TH65lNHgvLxCKXM3apjxI,2020,4723304,Callaita,2019-05-31,0.4889498533822538,0.8842105263157894,0.6,0.61,0.624,2.12e-06,0.243,0.8614764044206867,0.5414929897688517,0.244,0.7715701849145327,4,2019-01-01,latin,reggaeton,trap latino,,,,,,,,"latin,reggaeton,trap latino",4q3ewBCX7sLwd24euuV69X,24278509,0.9797979797979798,NormalPeriod,0.004104850272130407
1851,Ignorantes,Bad Bunny,316167,2020-02-14,3wYRLYuO1M88d8woWUIxct,2020,4741832,Ignorantes,2020-02-14,0.3934521901773285,0.8526315789473684,0.267,0.85,0.536,3.8900000000000004e-05,0.0996,0.8487521726297839,0.06953391436150058,0.505,0.26232445828302725,4,2020-01-01,latin,reggaeton,trap latino,,,,,,,,"latin,reggaeton,trap latino",4q3ewBCX7sLwd24euuV69X,24278509,0.9797979797979798,NormalPeriod,0.004120952277388174
1866,La Difícil,Bad Bunny,517415,2020-02-29,6NfrH0ANGmgBXyxgV2PeXt,2020,4874588,YHLQMDLG,2020-02-28,0.2797887556386841,0.8947368421052632,0.0861,0.685,0.848,7.14e-06,0.0783,0.8684288197291181,0.11860553239863585,0.7609999999999999,0.7950880091504099,4,2020-01-01,latin,reggaeton,trap latino,,,,,,,,"latin,reggaeton,trap latino",4q3ewBCX7sLwd24euuV69X,24278509,0.9797979797979798,NormalPeriod,0.004236325647962447
1876,Ignorantes,Bad Bunny,476545,2020-02-29,38RIEav39FGi86jppxO0du,2020,3873176,YHLQMDLG,2020-02-28,0.3934521901773285,0.8421052631578947,0.267,0.85,0.536,3.8900000000000004e-05,0.0996,0.8487521726297839,0.06953391436150058,0.505,0.26232445828302725,4,2020-01-01,latin,reggaeton,trap latino,,,,,,,,"latin,reggaeton,trap latino",4q3ewBCX7sLwd24euuV69X,24278509,0.9797979797979798,NormalPeriod,0.0033660352070518772
1886,La Santa,Bad Bunny,417397,2020-02-29,69vlMrzHwATKzupwNcUPyK,2020,3410668,YHLQMDLG,2020-02-28,0.3834400876357949,0.8842105263157894,0.0326,0.7440000000000001,0.868,0.0,0.0822,0.8696422129669104,0.04509283819628647,0.586,0.24331194001397985,4,2020-01-01,latin,reggaeton,trap latino,,,,,,,,"latin,reggaeton,trap latino",4q3ewBCX7sLwd24euuV69X,24278509,0.9797979797979798,NormalPeriod,0.0029640864674275614
1896,Si Veo a Tu Mamá,Bad Bunny,331301,2020-02-29,41wtwzCZkXwpnakmwJ239F,2020,2729755,YHLQMDLG,2020-02-28,0.2986529345075509,0.8947368421052632,0.402,0.9,0.603,4.81e-06,0.134,0.8437674220312859,0.07843880257673362,0.8240000000000001,0.4777340026688695,4,2020-01-01,latin,reggaeton,trap latino,,,,,,,,"latin,reggaeton,trap latino",4q3ewBCX7sLwd24euuV69X,24278509,0.9797979797979798,NormalPeriod,0.0023723299526347105
1906,Vete,Bad Bunny,317318,2020-02-29,2n7ohqg1s68ToAHh4u9mcW,2020,2391822,YHLQMDLG,2020-02-28,0.3490076394303673,0.8105263157894737,0.0363,0.8859999999999999,0.672,8.78e-06,0.10099999999999999,0.8739054865050996,0.3122394846532777,0.526,0.236569867191968,4,2020-01-01,latin,reggaeton,trap latino,,,,,,,,"latin,reggaeton,trap latino",4q3ewBCX7sLwd24euuV69X,24278509,0.9797979797979798,NormalPeriod,0.002078644776535132
