,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,genres_together,artist_id,Artist,artist_followers,artist_popularity
69,italian adult pop,,,,,,,,,,,italian adult pop,4XWTdNlsP8jqo5BDn5hgmd,Ermal Meta,484920,0.53
70,rap espanol,rap underground espanol,spanish hip hop,urbano espanol,,,,,,,,"rap espanol,rap underground espanol,spanish hip hop,urbano espanol",1QJbbsxg2wqidJj51d3otw,Natos y Waor,530325,0.69
71,dance pop,pop,pop rap,r&b,urban contemporary,,,,,,,"dance pop,pop,pop rap,r&b,urban contemporary",4fpTMHe34LC5t3h5ztK8qu,The Carters,1015768,0.61
72,bedroom pop,electropop,indie pop,pop,,,,,,,,"bedroom pop,electropop,indie pop,pop",4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,2672766,0.84
73,pop,uk pop,,,,,,,,,,"pop,uk pop",4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,6772378,0.87
74,italian hip hop,pop virale italiano,,,,,,,,,,"italian hip hop,pop virale italiano",6VSx5Yd2AO0fhm0h6xxeGi,NDG,16719,0.46
75,latin,reggaeton,reggaeton flow,trap latino,,,,,,,,"latin,reggaeton,reggaeton flow,trap latino",2LmcxBak1alK1bf7d1beTr,Juhn,643081,0.83
76,dance pop,post-teen pop,,,,,,,,,,"dance pop,post-teen pop",5338fdSzGNOFD4cxAxDTeq,Aaron Carter,214181,0.49
77,latin viral rap,,,,,,,,,,,latin viral rap,4iskZiURUeGrFszONfpCCB,TheGrefg,82162,0.55
78,norwegian pop,,,,,,,,,,,norwegian pop,7KUri7klyLaIFXLcuuOMCd,Stargate,13033,0.54
79,latin,latin pop,latin viral pop,mexican pop,perreo,reggaeton,reggaeton mexicano,trap latino,,,,"latin,latin pop,latin viral pop,mexican pop,perreo,reggaeton,reggaeton mexicano,trap latino",0AspLZGQkP38yddNoD0pLn,Mario Bautista,1275817,0.64
80,,,,,,,,,,,,,0jR55wNUYyw9VxbyMnu3ga,Ausonix,6,0.0
81,rap espanol,urbano espanol,,,,,,,,,,"rap espanol,urbano espanol",2w1wJcGdJQ4Lw08oKBnDsw,El Jincho,128560,0.62
82,,,,,,,,,,,,,0eIRTHiorCLmVl5hf3BFdp,Burbujitas,278,0.27
83,,,,,,,,,,,,,4U1LKrNINY8hIwM1CkUA5J,Rayden,4133,0.41
84,eurovision,moldovan pop,,,,,,,,,,"eurovision,moldovan pop",3c55dzx6W0ZFs0frtEgIsm,Sunstroke Project,19156,0.46
85,dfw rap,melodic rap,rap,,,,,,,,,"dfw rap,melodic rap,rap",246dkjvS1zLTtiykXe5h60,Post Malone,30907594,0.93
86,adult standards,blues rock,classic rock,folk rock,rock,rock-and-roll,rockabilly,soul,,,,"adult standards,blues rock,classic rock,folk rock,rock,rock-and-roll,rockabilly,soul",293zczrfYafIItmnmM3coR,Chuck Berry,1316920,0.72
87,pop,pop rock,,,,,,,,,,"pop,pop rock",04gDigrS5kc9YWfZHwBETP,Maroon 5,29157179,0.89
88,latin talent show,latin viral pop,,,,,,,,,,"latin talent show,latin viral pop",4mkCQKEe89EI0kn0Q7tMyK,Alba Reche,84917,0.59
