,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
70,La flaca,Jarabe De Palo,La Flaca,1996-09-30,0.4958391738675278,0.7473684210526316,0.52,0.871,0.481,5.54e-05,0.0809,0.6901815440668385,0.05341701534170154,0.664,0.4858780767218092,4,2LsbizbOeNa4x6qsi2jAMb,1996
71,Free Woman,Lady Gaga,Chromatica,2020-05-29,0.3411744353164535,0.7052631578947368,0.0228,0.731,0.927,7.15e-05,0.187,0.8608580941013882,0.1089260808926081,0.478,0.5610394263543234,4,4L6ihclQPu1hqP9r3WNJjQ,2020
72,Llegaste Tú,CNCO,Llegaste Tú,2018-10-26,0.3399545769087457,0.6210526315789474,0.153,0.702,0.914,0.0,0.0625,0.8828443997738551,0.05244072524407253,0.563,0.45725236543982806,4,6tT4Ks1N04Ut0lSQ3xjSaZ,2018
73,Johnny B. Goode,Chuck Berry,Berry Is On Top,1959-01-01,0.27484518887844,0.0,0.738,0.516,0.798,0.000128,0.305,0.6907783152208054,0.11576011157601117,0.969,0.7929350311384755,4,3BUQFs6aFWh7EFNmI8bfL7,1959
74,shut up,Ariana Grande,Positions,2020-10-30,0.26630618002448586,0.7789473684210526,0.801,0.499,0.462,0.0,0.0946,0.808279414536089,0.04351464435146443,0.599,0.6020168114766851,4,3ko9jEHNt4O5fjKN65ULJp,2020
75,Lo Malo - Operación Triunfo 2017,Aitana,Lo Malo (Operación Triunfo 2017),2018-01-28,0.322397487535265,0.0,0.638,0.763,0.746,0.0,0.338,0.8924869652616371,0.09623430962343098,0.966,0.44793675188693033,4,0Ur4DvUsF7GedvPygHtaRv,2018
76,Blood - Remix,Moonkey,Blood (Remix),2019-11-22,0.528671108429887,0.5684210526315789,0.138,0.779,0.75,1.35e-05,0.106,0.7736352785979018,0.22733612273361228,0.432,0.7539471140926942,4,0BoL0e5lLRCOEdOs55YcIF,2019
77,Yo Perreo Sola,Bad Bunny,YHLQMDLG,2020-02-28,0.298281995777072,0.8526315789473684,0.021,0.86,0.758,6.54e-05,0.344,0.8129279477354105,0.09693165969316599,0.453,0.45736079616438097,4,0SqqAgdovOE24BzxIClpjw,2020
78,Bed (feat. Ariana Grande),Nicki Minaj,Bed (feat. Ariana Grande),2018-06-14,0.33650348657712165,0.010526315789473684,0.0551,0.589,0.714,0.00013,0.131,0.7768704064325649,0.35983263598326365,0.42,0.5591772465196095,5,1ZEm9cJC05rawV2tptNfTS,2018
79,La foguera,Txarango,De vent i ales,2020-06-19,0.4306321971646055,0.42105263157894735,0.0863,0.794,0.724,3.14e-06,0.0642,0.7288460330422766,0.05634588563458856,0.906,0.48091383528901505,4,5lnUxj68Y8AeXm9RsXu5lx,2020
80,El Fin del Mundo,La La Love You,El Fin del Mundo,2019-11-29,0.33369337639063856,0.6736842105263158,0.000839,0.6,0.866,0.0,0.094,0.8305484012814875,0.06652719665271967,0.676,0.598990179947859,4,5SeYlZyKVENMOxiSPQkKyw,2019
81,Vértigo,Dani Fernández,Vértigo,2020-09-18,0.4407525860998243,0.49473684210526314,0.395,0.641,0.683,0.0,0.0952,0.8092845027954018,0.042398884239888426,0.65,0.6222462131748046,4,0FKCJOh4l6DM5QTuIxEK0x,2020
82,eco,Alba Reche,quimera,2019-10-24,0.3464530953352615,0.0,0.405,0.797,0.572,0.0155,0.164,0.7278409447829638,0.1603905160390516,0.395,0.4902294488419128,4,7GrHVkPidZn5EKPYwJdRZm,2019
