,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
92,Otro Trago,Sech,Sueños,2019-04-19,0.14317529435977427,0.78,0.136,0.746,0.7,0.000159,0.11,0.7844983954234687,0.3617987735634795,0.619,0.7597452548346125,4,1Ej96GIBCTvgH7tNX1r3qr,2019
93,Reggaetonera,Anuel AA,Emmanuel,2020-05-29,0.13333911040342003,0.85,0.48,0.694,0.796,0.000384,0.108,0.8021138551695269,0.03872359754712696,0.515,0.2649242383584679,4,6yVkakCN460KOVol9ZazjH,2020
94,Circles,Post Malone,Hollywood's Bleeding,2019-09-06,0.13548240340558282,0.9,0.192,0.695,0.762,0.00244,0.0863,0.8253802148737268,0.019418578242107652,0.553,0.425797718504207,4,21jGcNKet2qwijlDFuPiPb,2019
95,ROXANNE,Arizona Zervas,ROXANNE,2019-10-10,0.09818852746094159,0.88,0.0522,0.621,0.601,0.0,0.46,0.751465048137296,0.14263002498296615,0.457,0.4060776281030668,5,696DnlkuDOXcMAnKlTgXXK,2019
96,Wait a Minute!,WILLOW,ARDIPITHECUS,2015-01-11,0.12193517405228971,0.83,0.0371,0.764,0.705,1.94e-05,0.0943,0.7632203153341705,0.006132182602770836,0.672,0.31226557422017087,4,0y60itmpH0aPKsFiGxmtnh,2015
97,everything i wanted,Billie Eilish,everything i wanted,2019-11-13,0.15725112562599972,0.88,0.902,0.704,0.225,0.657,0.106,0.44317706153202174,0.08744038155802861,0.243,0.4255830456120264,4,3ZCTVFBt2Brf31RLEnCkWJ,2019
98,Vete,Bad Bunny,Vete,2019-11-21,0.11868846066356871,0.79,0.0363,0.886,0.672,8.78e-06,0.101,0.7940909725129064,0.1880535998183057,0.526,0.2584363465059005,4,5DxXgozhkPLgrbKFY91w0c,2019
99,Con Calma,Daddy Yankee,Con Calma,2019-01-24,0.1195564654440942,0.82,0.11,0.737,0.86,1.94e-06,0.0574,0.8548555881121808,0.04190324778560073,0.656,0.27044013906032904,4,5w9c2J52mkdntKOmRLeM2m,2019
100,MÁS DE UNA CITA,Bad Bunny,LAS QUE NO IBAN A SALIR,2020-05-10,0.11254743516141495,0.76,0.0122,0.865,0.5,7.73e-05,0.098,0.5704618389842333,0.0723370429252782,0.317,0.2643994823998044,4,4EJHKSnHENfjOxXWryyNtL,2020
101,PORFA,Feid,PORFA,2019-12-13,0.14827861364760594,0.81,0.0948,0.843,0.549,0.0,0.155,0.667678247523371,0.16079945491710196,0.541,0.21076703817003284,4,3iQOfefMGDVDwo8dZoco8T,2019
102,Gris,J Balvin,Colores,2020-03-19,0.10756904501420798,0.75,0.229,0.849,0.709,0.0,0.329,0.7828240546951305,0.06472859414035884,0.916,0.26490038581489234,4,1syf62zw48zu4FrPwMtDHk,2020
103,Blanco,J Balvin,Colores,2020-03-19,0.08522189365136104,0.72,0.0302,0.872,0.692,0.00761,0.0871,0.759836751778987,0.1869180104474222,0.693,0.306177212472495,4,5pXy29xzxR3aTB0SYRI590,2020
104,Savage,Megan Thee Stallion,Suga,2020-03-06,0.09231108078149315,0.83,0.0252,0.843,0.741,0.0,0.096,0.7517092228268452,0.35384964796729507,0.68,0.7176395522877571,4,55CHeLEfn5iJ0IIkgaa4si,2020
105,CÓMO SE SIENTE - Remix,Jhay Cortez,CÓMO SE SIENTE (Remix),2020-05-09,0.1443213206382218,0.86,0.0946,0.807,0.606,0.0,0.119,0.6379238174968606,0.07449466272995683,0.304,0.26447104003053123,4,2tFwfmceQa1Y6nRPhYbEtC,2020
