,Position,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,artist_id,artist_followers,artist_popularity
4780,141,¿Qué Ha Pasao'?,Abraham Mateo,41401,2020-04-20,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4781,146,¿Qué Ha Pasao'?,Abraham Mateo,39974,2020-04-21,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4782,124,¿Qué Ha Pasao'?,Abraham Mateo,44624,2020-04-22,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4783,126,¿Qué Ha Pasao'?,Abraham Mateo,45636,2020-04-23,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4784,142,¿Qué Ha Pasao'?,Abraham Mateo,44745,2020-04-24,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4785,141,¿Qué Ha Pasao'?,Abraham Mateo,44037,2020-04-25,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4786,130,¿Qué Ha Pasao'?,Abraham Mateo,42284,2020-04-26,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4787,131,¿Qué Ha Pasao'?,Abraham Mateo,44028,2020-04-27,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4788,126,¿Qué Ha Pasao'?,Abraham Mateo,44293,2020-04-28,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4789,124,¿Qué Ha Pasao'?,Abraham Mateo,46829,2020-04-29,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
